R-LO 2160000 2160000 1500 1500   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 13 1 0 1 750 750 750   28.2271 14 650   29.2229 2 650   6909760248256.933594 2304320230569.841309 2302720008802.823242 2302720008884.270020    144.072671 1317.781775 0.870917 0.375920 16.712819    3.010939e+16 2.315374e+15 2.779402e+16 1.618826e+13 3.009321e+16 0.083305 0.000538   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 1500 -e 1e-8 --maxrank 750 -j 2160000 -v -c 31 --genmaxrank 750 --compmaxrank 750 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 1800 1800   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 11 1 0 1 900 900 900   30.5389 15 708   32.9621 2 708   5757605347257.418945 1920268597908.495850 1918668374630.305664 1918668374718.617188    179.686547 1168.810278 0.562802 0.394968 9.320681    2.633316e+16 2.259993e+15 2.407317e+16 2.330856e+13 2.630985e+16 0.093880 0.000886   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 1800 -e 1e-8 --maxrank 900 -j 2160000 -v -c 31 --genmaxrank 900 --compmaxrank 900 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 2400 2400   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 8 1 0 1 1200 1200 1200   34.7652 15 814   40.1065 2 814   4317407724376.543945 1440202724629.700195 1438602499810.933594 1438602499935.910156    330.698019 1027.202457 0.266279 0.584966 3.664456    2.168654e+16 2.039563e+15 1.964698e+16 4.142794e+13 2.164512e+16 0.103811 0.001914   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 2400 -e 1e-8 --maxrank 1200 -j 2160000 -v -c 31 --genmaxrank 1200 --compmaxrank 1200 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 2700 2700   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 7 1 0 1 1350 1350 1350   36.9586 15 854   43.7942 2 854   3837343485129.793457 1280181312493.743652 1278581086248.278809 1278581086387.770996    374.667477 1004.278200 0.200711 0.441434 2.494323    2.029663e+16 1.957627e+15 1.833900e+16 5.242604e+13 2.024420e+16 0.106747 0.002590   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 2700 -e 1e-8 --maxrank 1350 -j 2160000 -v -c 31 --genmaxrank 1350 --compmaxrank 1350 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 3375 3375   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 6 1 0 1 1687 1687 1687   41.8919 17 1027   51.734 2 1027   3069237517238.740723 1024145990870.189209 1022545763100.408081 1022545763268.143555    484.933496 989.173070 0.134035 0.611362 1.194192    1.822559e+16 2.068737e+15 1.615686e+16 8.189353e+13 1.814370e+16 0.128041 0.004514   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 3375 -e 1e-8 --maxrank 1687 -j 2160000 -v -c 31 --genmaxrank 1687 --compmaxrank 1687 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 3600 3600   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 6 1 0 1 1800 1800 1800   43.4545 17 1049   53.998 2 1049   2877212935281.568848 960137797907.189209 958537568598.248413 958537568776.131348    530.301012 1046.114489 0.295319 0.674281 0.967254    1.777242e+16 2.227586e+15 1.554483e+16 9.316814e+13 1.767925e+16 0.143301 0.005270   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 3600 -e 1e-8 --maxrank 1800 -j 2160000 -v -c 31 --genmaxrank 1800 --compmaxrank 1800 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 4000 4000   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 5 1 0 1 2000 2000 2000   46.2022 17 1122   58.7593 2 1122   2589174237847.978027 864124899867.950195 862524668897.138916 862524669082.888916    596.975040 1029.963468 0.102025 0.802634 0.692887    1.683233e+16 1.979201e+15 1.485313e+16 1.150037e+14 1.671733e+16 0.133251 0.006879   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 4000 -e 1e-8 --maxrank 2000 -j 2160000 -v -c 31 --genmaxrank 2000 --compmaxrank 2000 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 4500 4500   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 5 1 0 1 2250 2250 2250   49.7345 17 1206   64.3238 2 1206   2301135130620.840820 768111865261.678223 766511632573.571777 766511632785.590820    649.676482 1167.875402 0.107742 0.994723 0.477606    1.633089e+16 2.291353e+15 1.403954e+16 1.455218e+14 1.618537e+16 0.163207 0.008991   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 4500 -e 1e-8 --maxrank 2250 -j 2160000 -v -c 31 --genmaxrank 2250 --compmaxrank 2250 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 5000 5000   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 5 1 0 1 2500 2500 2500   53.3691 17 1307   69.7734 3 1307   2070704205081.129395 691301558039.491455 689701323401.204102 689701323640.433838    744.079220 1403.432228 0.099068 1.221331 0.349916    1.608342e+16 2.622444e+15 1.346097e+16 1.796196e+14 1.590380e+16 0.194818 0.011294   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 5000 -e 1e-8 --maxrank 2500 -j 2160000 -v -c 31 --genmaxrank 2500 --compmaxrank 2500 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 2160000 2160000 5400 5400   300 300   256 16 16 31   4 st-3d-exp 1.0e-08 2.16e+06 0 9.53377e-307   0 4 1 0 1 2700 2700 2700   56.2705 18 1364   74.95 3 1364   1917084281205.905762 640094918232.283691 638494681358.783691 638494681614.838501    801.826293 1403.749115 0.179192 1.400565 0.272071    1.542348e+16 2.121507e+15 1.330197e+16 2.094738e+14 1.521400e+16 0.159488 0.013768   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 16 -Q 16 -N 2160000 -t 5400 -e 1e-8 --maxrank 2700 -j 2160000 -v -c 31 --genmaxrank 2700 --compmaxrank 2700 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
