R-LO 1080000 1080000 1500 1500   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 11 1 0 1 750 750 750   36.8976 16 645   38.0412 2 645   3453278793566.328125 1152159745621.433105 1150559523948.061279 1150559523996.833984    143.052147 425.288978 0.359998 0.538466 3.487330    6.676658e+15 6.858913e+14 5.990767e+15 8.089065e+12 6.668569e+15 0.114491 0.001213   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 1500 -e 1e-8 --maxrank 750 -j 1080000 -v -c 31 --genmaxrank 750 --compmaxrank 750 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 1800 1800   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 10 1 0 1 900 900 900   40.7268 17 706   43.6431 2 706   2877200005530.175781 960133483354.281738 958533261059.107300 958533261116.786743    179.515551 416.414020 0.246167 0.642670 1.813065    6.063762e+15 7.520693e+14 5.311692e+15 1.164553e+13 6.052116e+15 0.141588 0.001924   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 1800 -e 1e-8 --maxrank 900 -j 1080000 -v -c 31 --genmaxrank 900 --compmaxrank 900 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 2400 2400   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 7 1 0 1 1200 1200 1200   47.7092 17 820   54.4623 2 820   2157100878832.228760 720100441618.128784 718500218582.402832 718500218631.697021    326.209262 401.701137 0.083549 0.559978 0.675049    5.235758e+15 6.554032e+14 4.580355e+15 2.069323e+13 5.215065e+15 0.143090 0.003968   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 2400 -e 1e-8 --maxrank 1200 -j 1080000 -v -c 31 --genmaxrank 1200 --compmaxrank 1200 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 2700 2700   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 7 1 0 1 1350 1350 1350   51.586 18 900   60.0278 2 900   1917068350047.904053 640089599211.758057 638489375392.844482 638489375443.301514    374.266378 440.275438 0.063049 0.704582 0.466867    5.068772e+15 7.651197e+14 4.303652e+15 2.618349e+13 5.042589e+15 0.177784 0.005192   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 2700 -e 1e-8 --maxrank 1350 -j 1080000 -v -c 31 --genmaxrank 1350 --compmaxrank 1350 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 3000 3000   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 6 1 0 1 1500 1500 1500   54.8866 19 944   65.0413 3 944   1725042410654.535645 576080953328.384888 574480728637.398926 574480728688.751953    423.332697 451.099106 0.053842 0.857154 0.340505    4.794282e+15 7.019723e+14 4.092309e+15 3.231738e+13 4.761964e+15 0.171535 0.006787   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 3000 -e 1e-8 --maxrank 1500 -j 1080000 -v -c 31 --genmaxrank 1500 --compmaxrank 1500 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 3375 3375   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 6 1 0 1 1687 1687 1687   59.5302 19 1033   71.7013 3 1033   1533016350770.048828 512072267335.863342 510472041681.793335 510472041752.392212    485.250007 506.679546 0.050340 0.580116 0.244561    4.698691e+15 8.233896e+14 3.875301e+15 4.088910e+13 4.657802e+15 0.212471 0.008779   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 3375 -e 1e-8 --maxrank 1687 -j 1080000 -v -c 31 --genmaxrank 1687 --compmaxrank 1687 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 1200 1200   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 14 1 0 1 600 600 600   33.094 15 531   32.4726 2 531   4317411253602.992188 1440203902070.666992 1438603675717.928711 1438603675814.396729    120.649659 509.010500 1.015650 0.489594 7.714189    7.723506e+15 7.333659e+14 6.990140e+15 5.178168e+12 7.718327e+15 0.104914 0.000671   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 1200 -e 1e-8 --maxrank 600 -j 1080000 -v -c 31 --genmaxrank 600 --compmaxrank 600 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 3600 3600   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 5 1 0 1 1800 1800 1800   62.3544 19 1104   76.3914 3 1104   1437003760712.081543 480068071341.729675 478467844650.260193 478467844720.091675    523.658060 566.085736 0.073360 0.633642 0.201176    4.551460e+15 6.920791e+14 3.859381e+15 4.651409e+13 4.504946e+15 0.179324 0.010325   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 3600 -e 1e-8 --maxrank 1800 -j 1080000 -v -c 31 --genmaxrank 1800 --compmaxrank 1800 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 4000 4000   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 5 1 0 1 2000 2000 2000   66.5303 21 1241   82.3132 4 1241   1292984279296.682617 432061578310.794800 430461350458.766235 430461350527.121521    588.388079 580.060299 0.038743 0.780596 0.150723    4.405779e+15 7.934919e+14 3.612287e+15 5.740584e+13 4.348373e+15 0.219665 0.013202   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 4000 -e 1e-8 --maxrank 2000 -j 1080000 -v -c 31 --genmaxrank 2000 --compmaxrank 2000 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
R-LO 1080000 1080000 4500 4500   300 300   64 8 8 31   4 st-3d-exp 1.0e-08 1.08e+06 0 9.53377e-307   0 4 1 0 1 2250 2250 2250   72.7314 21 1314   92.1859 4 1314   1148964653609.696289 384055037234.984497 382454808152.427979 382454808222.283752    640.676914 641.102757 0.033254 0.975269 0.105504    4.269206e+15 6.790890e+14 3.590117e+15 7.262420e+13 4.196582e+15 0.189155 0.017306   8fb9f876219fb4b780eb79467363faee75c13e92    "/lustre/project/k1205/lei/lorapo/testing_dpotrf -P 8 -Q 8 -N 1080000 -t 4500 -e 1e-8 --maxrank 2250 -j 1080000 -v -c 31 --genmaxrank 2250 --compmaxrank 2250 -D 4 --band 7 -F 0 -Y 1 -z 300 -E 1 "
